,Exception Name,GeoPy Sub,Carnegie Name,MSI Classification,Research Classification
0,University Of Richmond,None,University of Richmond,None,4Y
1,Trustees of Amherst College,01002-2372,Amherst College,None,4Y - 21
2,"TRUSTEES OF GRINNELL COLLEGE, THE",50112-1500,Grinnell College,None,4Y - 21
3,"Vassar College, Inc.",Vassar College,Vassar College,None,4Y - 21
4,NASA Ames Research Center,None,Ames Research Center,None,G
5,Ames Research Center,None,Ames Research Center,None,G
6,Jet Propulsion Laboratory,None,Jet Propulsion Laboratory,None,G
7,Jet Propulsion Laboratory,None,Jet Propulsion Laboratory,None,G
8,Lawrence Berkeley National Laboratory,None,Lawrence Berkeley National Laboratory,None,G
9,Lawrence Berkeley National Laboratory,None,Lawrence Berkeley National Laboratory,None,G
10,"ENERGY LIVERMORE OFFICE, UNITED STATES DEPARTMENT OF",94550-9698,Lawrence Livermore National Laboratory,None,G
11,Lawrence Livermore National Laboratory/Dept of Energy,Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,None,G
12,"Lawrence Livermore National Security, LLC",Lawrence Livermore National Laboratory,Lawrence Livermore National Laboratory,None,G
13,Los Alamos National Laboratory/University of California,Los Alamos National Laboratory,Los Alamos National Laboratory,None,G
14,"Los Alamos National Security, LLC",87544-0600,Los Alamos National Laboratory,None,G
15,NASA / Goddard Space Flight Center,"8800 Greenbelt Rd, Greenbelt, MD 20771",NASA Goddard Space Flight Center,None,G
16,NASA Foreign PI Support Organization,20771-2400,NASA Foreign PI Support Organization,None,G
17,NASA Goddard Space Flight Center,"8800 Greenbelt Rd, Greenbelt, MD 20771",NASA Goddard Space Flight Center,None,G
18,NASA Marshall Space Flight Center,"Martin Rd SW, Huntsville, AL 35808",NASA Marshall Space Flight Center,None,G
19,NASA/GODDARD SPACE FLIGHT CENTER,"8800 Greenbelt Rd, Greenbelt, MD 20771",NASA Goddard Space Flight Center,None,G
20,NASA/GSFC/ORAU,"8800 Greenbelt Rd, Greenbelt, MD 20771",NASA Goddard Space Flight Center,None,G
21,National Institute Of Standards & Technology,80305-3337,National Institute of Standards and Technology,None,G
22,Naval Research Lab,"4555 Overlook Ave. SW Washington, DC 20375",Naval Research Laboratory,None,G
23,NSPIRES Anonymous Proposal Submission Organization,20771-2400,NSPIRES,None,G
24,"ADNET Systems, Inc.","6720B Rockledge Dr,Bethesda, MD","ADNET Systems, Inc.",None,I
25,Battelle Memorial Institute,None,Battelle Memorial Institute,None,I
26,Battelle Memorial Institute,None,Battelle Memorial Institute,None,I
27,Lockheed Martin Inc.,Lockheed Martin,Lockheed Martin,None,I
28,Million Concepts LLC,"1355 Bardstown Rd,Louisville, KY",Million Concepts LLC,None,I
29,"Morningstar Applied Physics, LLC",22182-1440,"Morningstar Applied Physics, LLC",None,I
30,"NMC, INC.",87545,"NMC, INC.",None,I
31,"NorthWest Research Associates, Inc","3380 Mitchell Ln,Boulder, CO","NorthWest Research Associates, Inc",None,I
32,"NorthWest Research Associates, Inc.",80301-5410,"NorthWest Research Associates, Inc",None,I
33,Photonic Cleaning Technologies LLC,53818-8977,Photonic Cleaning Technologies LLC,None,I
34,Planetary Resources Development Corporation,98052-6714,Planetary Resources Development Corporation,None,I
35,"Praxis, Inc.",81236-0127,"Praxis, Inc.",None,I
36,Raytheon BBN Technologies,02138-1119,Raytheon Technologies,None,I
37,Raytheon BBN Technologies Corp.,02138-1119,Raytheon Technologies,None,I
38,Reflective X-Ray Optics LLC,10025-7775,Reflective X-Ray Optics LLC,None,I
39,SCIENCE SYSTEMS & APPLICATIONS INC,"8800 Greenbelt Rd, Greenbelt, MD 20771","Science Systems And Applications, Inc.",None,I
40,"Science Systems And Applications, Inc.","10210 Greenbelt Rd., Lanham, MD 20706","Science Systems And Applications, Inc.",None,I
41,Sigma Space Corporation,20706-4312,Sigma Space Corporation,None,I
42,SIGMA SPACE LLC,20706-4312,Sigma Space Corporation,None,I
43,Space Environment Technologies,90503-2136,Space Environment Technologies,None,I
44,SPACE SCIENCE AND TECHNOLOGY INC,22153-1830,Space Science and Technology,None,I
45,"Spectral Sciences, Inc","4 4th Ave,Burlington,MA","Spectral Sciences, Inc",None,I
46,Technoscience Corporation,94306-0658,Technoscience Corporation,None,I
47,Trex Enterprises Corporation,87107-1631,Trex Enterprises Corporation,None,I
48,TRIAD NATIONAL SECURITY LLC,87545-0001,"Triad National Security, LLC",None,I
49,"Triad National Security, LLC",87544-0600,"Triad National Security, LLC",None,I
50,TRID System,"6230 Wilshire Blvd,Los Angeles, CA",TRID System,None,I
51,TRID System,90048-5126,TRID System,None,I
52,"Universities Space Research Association, Columbia","425 3rd St SW, Washington, DC 20024",Universities Space Research Association,None,I
53,University Corporation For Atmospheric Research (UCAR),"3090 Center Green Dr., Boulder, CO 80301",University Corporation For Atmospheric Research,None,I
54,"University Enterprises, Inc.",95819-2605,"University Enterprises, Inc.",None,I
55,"UT-BATTELLE, LLC","Bethel Valley Road, Oak Ridge TN 37831-6372","UT-BATTELLE, LLC",None,I
56,White Dwarf Research Corp,"9020 Brumm Trl,Golden, CO",White Dwarf Research Corporation,None,I
57,"WinSet Group, LLC","6107 Arlington Blvd,Falls Church, VA","WinSet Group, LLC",None,I
58,Within the Heliosphere,"419 Via El Chico, 419 Via El Chico, CA",Within the Heliosphere,None,I
59,Zecoat Corporation,63119-3610,Zecoat Corporation,None,I
60,SETI Institute,None,SETI Institute,None,RC
61,SETI Institute,None,SETI Institute,None,RC
62,Space Science Institute,None,Space Science Institute,None,I
63,Space Science Institute,None,Space Science Institute,None,I
64,Tech-X Corporation,None,Tech-X Corporation,None,I
65,Tech-X Corporation,None,Tech-X Corporation,None,I
66,The Aerospace Corporation,None,The Aerospace Corporation,None,I
67,The Aerospace Corporation,None,The Aerospace Corporation,None,I
68,"American Alliance Financial & Funding Group, LLC",49435-9755,"American Alliance Financial & Funding Group, LLC",None,I
69,"American Museum Of Natural History, The",American Museum Of Natural History,American Museum of Natural History,None,RC
70,"Associated Universities, Inc.","1400 16th St NW, Washington, DC 20036","Associated Universities, Inc.",None,I
71,"Association Of Universities For Research In Astronomy, Inc.","1331 Pennsylvania Ave. NW, Washington, DC 20004","Association Of Universities For Research In Astronomy, Inc.",None,I
72,Astrophysical Advances,"607 Marion Pl, Palo Alto, CA",Astrophysical Advances,None,I
73,Ball Aerospace & Technologies Corporation,80026-1289,Ball Aerospace,None,I
74,"Bay Area Environmental Research Institute, Inc.",Ames Research Center,Ames Research Center,None,G
75,Boston Micromachines Corporation,02138-1070,Boston Micromachines Corporation,None,I
76,Brookhaven Science Associates,11973,Brookhaven Science Associates,None,I
77,Busek Co. Inc.,01760-1023,Busek Co. Inc.,None,I
78,California Association For Research In Astronomy,96743-8431,California Association For Research In Astronomy,None,I
79,Carnegie Institution,20015-1305,Carnegie Institution for Science,None,RC
80,"Computational Physics, Inc.",22151-2115,"Computational Physics, Inc.",None,I
81,Consulting & Research,07052-2250,Consulting & Research,None,I
82,"Continuum Space Systems, Inc.","392 W Palm St., Altadena, CA 91001","Continuum Space Systems, Inc.",None,I
83,CREST Physchem Research Services LLC,75248-4222,CREST Physchem Research Services LLC,None,I
84,David Brinegar And Company,02906-0515,David Brinegar And Company,None,I
85,"Discovery Semiconductors, Inc.",08628-3200,"Discovery Semiconductors, Inc.",None,I
86,"DRS Sensors & Targeting Systems, Inc.",90630-4833,"DRS Sensors & Targeting Systems, Inc.",None,I
87,"Eureka Scientific, Inc.","2452 Delmer Street, Oakland, CA","Eureka Scientific, Inc.",None,I
88,"Fermi Research Alliance, LLC",60510-5011,"Fermi Research Alliance, LLC",None,I
89,"Fibertek, Inc.",20171-4603,"Fibertek, Inc.",None,I
90,"Grassmere Dynamics, LLC","513 Bain Dr SE, Huntsville, AL","Grassmere Dynamics, LLC",None,I
91,"Hypres, Inc.",10523-1109,"Hypres, Inc.",None,I
92,"Institute For Scientific Research, Inc.",01890-1302,"Institute For Scientific Research, Inc.",None,RC
93,IUP RESEARCH INSTITUTE,15705-1001,IUP Research Institute,None,None
94,"Las Cumbres Observatory Global Telescope Network, Inc.","6740 Cortona Dr, Goleta, CA 93117",Las Cumbres Observatory,None,None
95,Sanjay Ektate,"B-801, Shaakya Vihar CHS., Sane Guruji Nagar, 90 Feet Road, Mulund ( East ), MUM",None,None,None
96,"Struck, James","1720 Golf Rd,Waukegan, IL",None,None,None
97,"Struck, James",60087-3876,None,None,None
98,"Villepique, Aleksandra",92314-3222,None,None,None
99,Arizona State University,None,Arizona State University Campus Immersion,None,R1
100,TRUSTEES OF BOSTON UNIVERSITY,BOSTON UNIVERSITY,Boston University,None,R1
101,Jet Propulsion Lab,CALIFORNIA INSTITUTE OF TECHNOLOGY,California Institute of Technology,None,R1
102,Jet Propulsion Laboratory - California Institute of Technology,CALIFORNIA INSTITUTE OF TECHNOLOGY,California Institute of Technology,None,R1
103,SOFIA Science Center,CALIFORNIA INSTITUTE OF TECHNOLOGY,California Institute of Technology,None,R1
104,Columbia University,None,Columbia University in the City of New York,None,R1
105,TRUSTEES OF DARTMOUTH COLLEGE,Dartmouth College,Dartmouth College,None,R1
106,Georgia Tech Research Corporation,None,Georgia Institute of Technology-Main Campus,None,R1
107,"Georgia State University Research Foundation, Inc.",Georgia state university,Georgia State University,None,R1
108,Harvard-Smithsonian Center for Astrophysics,02138-1516,Harvard University,None,R1
109,President and Fellows of Harvard College,Harvard,Harvard University,None,R1
110,Smithsonian Astrophysical Observatory,02138-1516,Harvard University,None,R1
111,Smithsonian Institution/Smithsonian Astrophysical Observatory,"60 Garden St,Cambridge,MA",Harvard University,None,R1
112,TRUSTEES OF INDIANA UNIVERSITY,INDIANA UNIVERSITY,Indiana University-Bloomington,None,R1
113,Indiana University,None,Indiana University-Bloomington,None,R1
114,"Iowa State University, Ames",None,Iowa State University,None,R1
115,"JOHNS HOPKINS UNIVERSITY, THE",JOHNS HOPKINS UNIVERSITY,Johns Hopkins University,None,R1
116,Kent State University Foundation,Kent State University,Kent State University at Kent,None,R1
117,Louisiana State University and A&M College,Louisiana State University,Louisiana State University and Agricultural & Mechanical College,None,R1
118,Massachusetts Institute of Technology/Lincoln Lab,02421-6426,Massachusetts Institute of Technology,None,R1
119,"Montana State University, Bozeman",None,Montana State University,None,R1
120,New York University (Inc),None,New York University,None,R1
121,INSTITUTE FOR ADVANCED STUDY - LOUIS BAMBERGER AND MRS. FELIX FULD FOU,Princeton University,Princeton University,None,R1
122,SMITHSONIAN INSTITUTION,"60  Garden St, Cambridge, MA 02138-1516",Harvard University,None,R1
123,The Leland Stanford Junior University,94025-7015,Stanford University,None,R1
124,North Carolina State University,None,North Carolina State University at Raleigh,None,R1
125,"Northwestern University, Evanston",None,Northwestern University,None,R1
126,Ohio State University,The Ohio State University,Ohio State University-Main Campus,None,R1
127,Ohio State University Research Foundation,The Ohio State University,Ohio State University-Main Campus,None,R1
128,"OHIO STATE UNIVERSITY RESEARCH FOUNDATION, THE",The OHIO STATE UNIVERSITY,Ohio State University-Main Campus,None,R1
129,Old Dominion University Research Foundation,Old Dominion University,Old Dominion University,None,R1
130,"TRUSTEES OF PRINCETON UNIVERSITY, THE",Princeton University,Princeton University,None,R1
131,Purdue University,None,Purdue University-Main Campus,None,R1
132,William Marsh Rice University,Rice University,Rice University,None,R1
133,"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY",Rutgers University,Rutgers University-New Brunswick,None,R1
134,"Rutgers University, New Brunswick",None,Rutgers University-New Brunswick,None,R1
135,"LELAND STANFORD JUNIOR UNIVERSITY, THE",Stanford University,Stanford University,None,R1
136,"State University Of New York, Stony Brook",None,Stony Brook University,None,R1
137,"State University Of New York, Albany",None,SUNY at Albany,None,R1
138,"Texas A & M, College Station",None,Texas A & M University-College Station,HSI,R1
139,"Texas Tech University, Lubbock",None,Texas Tech University,None,R1
140,Pennsylvania State University,None,The Pennsylvania State University,None,R1
141,"University Of Alabama, Tuscaloosa",None,The University of Alabama,None,R1
142,THE UNIVERSITY OF TEXAS AT ARLINGTON,76019-0001,The University of Texas at Arlington,None,R1
143,"University Of Texas, Arlington",None,The University of Texas at Arlington,HSI,R1
144,The University of Texas at Austin,78712-1068,The University of Texas at Austin,None,R1
145,"University Of Texas, Austin",None,The University of Texas at Austin,None,R1
146,"University Of Texas, Dallas",None,The University of Texas at Dallas,None,R1
147,"UNIVERSITY OF TEXAS AT SAN ANTONIO, THE",78249-1644,The University of Texas at San Antonio,HSI,R1
148,"University Of Texas, San Antonio","UTSA Circle, San Antonio, Bexar County, Texas, 78249, United States",The University of Texas at San Antonio,HSI,R1
149,TRUSTEES OF TUFTS COLLEGE INC,02155-5530,Tufts University,None,R1
150,Tufts College Inc,Tufts University,Tufts University,None,R1
151,"UNIVERSITY OF ALABAMA IN HUNTSVILLE, THE",UNIVERSITY OF ALABAMA HUNTSVILLE,University of Alabama in Huntsville,None,R1
152,"University Of Alabama, Huntsville",None,University of Alabama in Huntsville,None,R1
153,"ABOR, University of Arizona","888 N EUCLID AVE,  Tucson, AZ 85722",University of Arizona,None,R1
154,"Arizona Board of Regents, University of Arizona","888 N EUCLID AVE,  Tucson, AZ 85722",University of Arizona,None,R1
155,The University of Arizona,85721-0009,University of Arizona,None,R1
156,University Of Arizona,None,University of Arizona,None,R1
157,Lowell Observatory,None,University of Arizona,None,R1
158,"University of Arkansas, Fayetteville",None,University of Arkansas,None,R1
159,"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE",UC Berkeley,University of California-Berkeley,None,R1
160,"University of California, Berkeley",None,University of California-Berkeley,None,R1
161,"University Of California, Davis",None,University of California-Davis,None,R1
162,"University Of California, Irvine",None,University of California-Irvine,None,R1
163,UCLA,None,University of California-Los Angeles,None,R1
164,"University of California, Los Angeles",None,University of California-Los Angeles,None,R1
165,REGENTS OF THE UNIVERSITY OF CALIFORNIA AT RIVERSIDE,University of California Riverside,University of California-Riverside,HSI,R1
166,"University Of California, Riverside",None,University of California-Riverside,HSI,R1
167,"University Of California, San Diego",None,University of California-San Diego,None,R1
168,"University Of California, Santa Cruz",None,University of California-Santa Cruz,HSI,R1
169,"UNIVERSITY OF CENTRAL FLORIDA BOARD OF TRUSTEES, THE",University of Central Florida,University of Central Florida,None,R1
170,University Of Central Florida,None,University of Central Florida,None,R1
171,"UCHICAGO ARGONNE, LLC",60439-4803,University of Chicago,None,R1
172,University of Chicago,The University of Chicago,University of Chicago,None,R1
173,The University of Chicago,None,University of Chicago,None,R1
174,University Of Cincinnati,None,University of Cincinnati-Main Campus,None,R1
175,"REGENTS OF THE UNIVERSITY OF COLORADO, THE",University of Colorado,University of Colorado Boulder,None,R1
176,"University Of Colorado, Boulder",None,University of Colorado Boulder,None,R1
177,"University of Connecticut, Storrs",None,University of Connecticut,None,R1
178,University Of Delaware,None,University of Delaware,None,R1
179,University Of Denver,None,University of Denver,None,R1
180,"University of Florida, Gainesville",None,University of Florida,None,R1
181,"UNIVERSITY OF GEORGIA RESEARCH FOUNDATION, INC.",University of Georgia,University of Georgia,None,R1
182,"University Of Georgia, Athens",None,University of Georgia,None,R1
183,UNIVERSITY OF HAWAII SYSTEMS,"2680  Woodlawn Dr, Honolulu, HI 96822-1839",University of Hawaii at Manoa,None,R1
184,"University of Hawaii, Honolulu",None,University of Hawaii at Manoa,None,R1
185,UNIVERSITY OF HOUSTON SYSTEM,77058-1002,University of Houston,None,R1
186,"University Of Illinois, Urbana-Champaign",None,University of Illinois Urbana-Champaign,None,R1
187,"UNIVERSITY OF IOWA, THE",52242-1403,University of Iowa,None,R1
188,"University of Iowa, Iowa City",None,University of Iowa,None,R1
189,"UNIVERSITY OF KANSAS CENTER FOR RESEARCH, INC.",UNIVERSITY OF KANSAS,University of Kansas,None,R1
190,KU office of research,None,University of Kansas,None,R1
191,University of Kansas Center for Research,None,University of Kansas,None,R1
192,University of Kentucky Research Foundation,40506-0057,University of Kentucky,None,R1
193,"UNIVERSITY OF KENTUCKY RESEARCH FOUNDATION, THE",40506-0057,University of Kentucky,None,R1
194,universityy of kentucky,40506-0055,University of Kentucky,None,R1
195,"University Of Kentucky, Lexington",None,University of Kentucky,None,R1
196,University Of Louisville,None,University of Louisville,None,R1
197,University of Maryland Baltimore County,None,University of Maryland-Baltimore County,None,R1
198,"University of Maryland, College Park","University of Maryland, College Park",University of Maryland-College Park,None,R1
199,"University of Maryland, College Park",University of Maryland,University of Maryland-College Park,None,R1
200,University of Maryland College Park,None,University of Maryland-College Park,None,R1
201,"University Of Massachusetts, Amherst",None,University of Massachusetts-Amherst,None,R1
202,"University Of Miami, Coral Gables",None,University of Miami,None,R1
203,REGENTS OF THE UNIVERSITY OF MICHIGAN,University of Michigan,University of Michigan-Ann Arbor,None,R1
204,"University Of Michigan, Ann Arbor",None,University of Michigan-Ann Arbor,None,R1
205,Regents of the University of Minnesota,University of Minnesota,University of Minnesota-Twin Cities,None,R1
206,University Of Minnesota,None,University of Minnesota-Twin Cities,None,R1
207,The Curators of the University of Missouri,65211-0001,University of Missouri-Columbia,None,R1
208,UNIVERSITY OF MISSOURI SYSTEM,65211-0001,University of Missouri-Columbia,None,R1
209,"University Of Missouri, Columbia",None,University of Missouri-Columbia,None,R1
210,BOARD OF REGENTS NEVADA SYSTEM OF HIGHER EDUCATION,"University of Nevada, Las Vegas",University of Nevada-Las Vegas,None,R1
211,UNLV,None,University of Nevada-Las Vegas,None,R1
212,"University Of Nevada, Las Vegas",None,University of Nevada-Las Vegas,None,R1
213,University of Nevada,None,University of Nevada-Reno,None,R1
214,"University of New Hampshire, Durham",None,University of New Hampshire-Main Campus,None,R1
215,University Of New Mexico,None,University of New Mexico-Main Campus,HSI,R1
216,"University Of North Carolina, Chapel Hill",None,University of North Carolina at Chapel Hill,None,R1
217,University Of North Texas,None,University of North Texas,None,R1
218,University Of Notre Dame,None,University of Notre Dame,None,R1
219,"University Of Oklahoma, Norman",None,University of Oklahoma-Norman Campus,None,R1
220,"University Of Oregon, Eugene",None,University of Oregon,None,R1
221,"TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA, THE","209 S 33rd St, Philadelphia PA, 19104",University of Pennsylvania,None,R1
222,University Of Pennsylvania,None,University of Pennsylvania,None,R1
223,University Of Pittsburgh,None,University of Pittsburgh-Pittsburgh Campus,None,R1
224,University Of Rochester,None,University of Rochester,None,R1
225,University of South Carolina,None,University of South Carolina-Columbia,None,R1
226,"University Of South Florida, Tampa",None,University of South Florida,None,R1
227,University Of Southern California,None,University of Southern California,None,R1
228,"University of Utah, Salt Lake City",None,University of Utah,None,R1
229,RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,University of virginia,University of Virginia-Main Campus,None,R1
230,"University of Virginia, Charlottesville",None,University of Virginia-Main Campus,None,R1
231,"University Of Washington, Seattle",None,University of Washington-Seattle Campus,None,R1
232,"University Of Wisconsin, Madison",None,University of Wisconsin-Madison,None,R1
233,"University Of Wisconsin, Milwaukee",None,University of Wisconsin-Milwaukee,None,R1
234,Virginia Commonwealth University,23284-9069,Virginia Commonwealth University,None,R1
235,Virginia Polytechnic Institute & State University,None,Virginia Polytechnic Institute and State University,None,R1
236,"Washington State University, Pullman",None,Washington State University,None,R1
237,Washington University,None,Washington University in St Louis,None,R1
238,WEST VIRGINIA UNIVERSITY RESEARCH CORPORATION,26506-6315,West Virginia University,None,R1
239,"California State University, Fresno",None,California State University-Fresno,None,R2
240,CSU FULLERTON AUXILIARY SERVICES CORPORATION,92831-3547,California State University-Fullerton,None,R2
241,"California State University, Fullerton",None,California State University-Fullerton,None,R2
242,"Clark Atlanta University, Inc",CLARK ATLANTA UNIVERSITY,Clark Atlanta University,None,R2
243,East Tennessee State University Foundation,East Tennessee State University,East Tennessee State University,None,R2
244,FLORIDA INSTITUTE OF TECHNOLOGY INC,Florida Institute of Technology,Florida Institute of Technology,None,R2
245,Florida Institute Of Technology,None,Florida Institute of Technology,None,R2
246,Georgia Southern University Research And Service Foundation,30460-1000,Georgia Southern University,None,R2
247,"Howard University, Inc.",Howard University,Howard University,None,R2
248,Kennesaw State University Research and Service Foundation,Kennesaw State University,Kennesaw State University,None,R2
249,New Mexico State University,None,New Mexico State University-Main Campus,HSI,R2
250,ROCHESTER INSTITUTE OF TECHNOLOGY (INC),ROCHESTER INSTITUTE OF TECHNOLOGY,Rochester Institute of Technology,None,R2
251,Rochester Institute Of Technology,None,Rochester Institute of Technology,None,R2
252,"California State University, San Francisco",California State University San Francisco,San Francisco State University,None,R2
253,"Southern Methodist University, Inc",Southern Methodist University,Southern Methodist University,None,R2
254,"Stevens Institute Of Technology, Inc.","Castle Point Terrace, Hoboken, NJ 07030",Stevens Institute of Technology,None,R2
255,TEXAS CHRISTIAN UNIVERSITY INC,TEXAS CHRISTIAN UNIVERSITY,Texas Christian University,None,R2
256,"Texas Christian University, Inc.",Texas Christian University,Texas Christian University,None,R2
257,Texas State University-San Marcos,None,Texas State University,HSI,R2
258,CATHOLIC UNIVERSITY OF AMERICA (THE),CATHOLIC UNIVERSITY OF AMERICA,The Catholic University of America,None,R2
259,Catholic University Of America,None,The Catholic University of America,None,R2
260,UNIVERSITY OF TEXAS AT BROWNSVILLE,University of Texas Rio Grande Valley,The University of Texas Rio Grande Valley,HSI,R2
261,University of Texas Rio Grande Valley (UTRGV),University of Texas Rio Grande Valley,The University of Texas Rio Grande Valley,HSI,R2
262,"University Of Texas, Brownsville",None,The University of Texas Rio Grande Valley,HSI,R2
263,"University of Arkansas, Little Rock",None,University of Arkansas at Little Rock,None,R2
264,"University Of Idaho, Moscow",None,University of Idaho,None,R2
265,UMass Lowell,01854-3643,University of Massachusetts-Lowell,None,R2
266,"University Of Massachusetts, Lowell",None,University of Massachusetts-Lowell,None,R2
267,"University of North Carolina, Greensboro",None,University of North Carolina at Greensboro,None,R2
268,"University Of North Dakota, Grand Forks",None,University of North Dakota,None,R2
269,"UNIVERSITY OF TOLEDO, THE",University of Toledo,University of Toledo,None,R2
270,University Of Toledo,None,University of Toledo,None,R2
271,"UNIVERSITY OF TULSA, THE",UNIVERSITY OF TULSA,University of Tulsa,None,R2
272,University Of Wyoming,None,University of Wyoming,None,R2
273,VILLANOVA UNIVERSITY IN THE STATE OF PENNSYLVANIA,VILLANOVA UNIVERSITY,Villanova University,None,R2
274,"Western Michigan University, Kalamazoo",None,Western Michigan University,None,R2
275,Missouri State University,None,Missouri State University-Springfield,None,R2 - 17
276,Northern Kentucky University Research Foundation,Northern Kentucky University,Northern Kentucky University,None,R2 - 17
277,SACRED HEART UNIVERSITY INCORPORATED,06825-1090,Sacred Heart University,None,R2 - 17
278,College of St Scholastica Inc,College of St Scholastica,The College of Saint Scholastica,None,R2 - 17
279,Research Corporation of the University of Hawaii,96720-2700,University of Hawaii at Hilo,None,R2 - 17
280,UNIVERSITY OF SAN FRANCISCO INC,94117-1080,University of San Francisco,None,R2 - 17
281,"Western Kentucky University, Bowling Green",None,Western Kentucky University,None,R2 - 17
282,Alabama A&M University,Alabama A & M University,Alabama A & M University,HBCU,R2 - 18
283,"California Polytechnic State University, San Luis Obispo",None,California Polytechnic State University-San Luis Obispo,None,R2 - 18
284,"California State University, Northridge",None,California State University-Northridge,HSI,R2 - 18
285,CALIFORNIA STATE UNIVERSITY SAN MARCOS CORPORATION,92096-0001,California State University-San Marcos,None,R2 - 18
286,Hunter College,None,CUNY Hunter College,HSI,R2 - 18
287,"Embry-Riddle Aeronautical University, Inc.",Embry-Riddle Aeronautical University,Embry-Riddle Aeronautical University-Daytona Beach,None,R2 - 18
288,SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION,SAN JOSE STATE UNIVERSITY,San Jose State University,None,R2 - 18
289,"State University Of New York, Buffalo",None,SUNY Buffalo State,None,R2 - 18
290,College of New Jersey,08618-1104,The College of New Jersey,None,R2 - 18
291,University of Tampa,None,The University of Tampa,None,R2 - 18
292,"UNIVERSITY OF TAMPA, INCORPORATED, THE",UNIVERSITY OF TAMPA,University of Tampa,None,R2 - 18
293,"Western Washington University, Bellingham",None,Western Washington University,None,R2 - 18
294,"State University of New York, Cortland",None,SUNY Cortland,None,R2 - 19
295,New Mexico Institute Of Mining And Technology,New Mexico Tech,New Mexico Institute Of Mining And Technology,HSI,R2 - 20
296,"CORPORATION OF HAVERFORD COLLEGE, THE",19041-1336,Haverford College,None,R2 - 21
297,"Corporation of Haverford College,The",Haverford College,Haverford College,None,R2 - 21
298,"Colleges Of The Seneca, Inc.",Hobart and William Smith Colleges,Hobart Wiliam Smith Colleges,None,R2 - 21
299,Adler Planetarium,None,Adler Planetarium,None,RC
300,Adler Planetarium,None,Adler Planetarium,None,RC
301,Carnegie Institution Of Washington,None,Carnegie Institution for Science,None,RC
302,Carnegie Institution for Science,None,Carnegie Institution for Science,None,RC
303,Monterey Institute For Research In Astronomy,"200 8th St, Marina, CA 93933",Monterey Institute For Research In Astronomy,None,RC
304,Planetary Science Institute,"1700 E Fort Lowell Rd., Tucson, AZ 85719",Planetary Science Institute,None,RC
305,Research Foundation for the State University of New York,14260-1500,Research Foundation for the State University of New York,None,RC
306,"RESEARCH FOUNDATION FOR THE STATE UNIVERSITY OF NEW YORK, THE",14260-1500,Research Foundation for the State University of New York,None,RC
307,RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,10024-5192,Research Foundation for the State University of New York,None,RC
308,"Ronin Institute For Independent Scholarship, Incorporated, The",94043-5226,Ronin Institute,None,RC
309,Southern Research Institute Inc,35211-4468,Southern Research Institute,None,RC
310,THE AMERICAN MUSEUM OF NATURAL HISTORY,"4800 Oak Grove Dr Pasadena CA, 91109-8001",American Museum of Natural History,None,RC
311,Southwest Research Institute,None,Southwest Research Institute,None,RC
312,Southwest Research Institute,None,Southwest Research Institute,None,RC
313,Space Telescope Science Institute,None,Space Telescope Science Institute,None,RC
314,Space Telescope Science Institute,None,Space Telescope Science Institute,None,RC
315,US Naval Observatory,None,United States Naval Observatory,None,G
316,United States Naval Observatory,None,United States Naval Observatory,None,G
317,Florida A & M University,None,Florida Agricultural and Mechanical University,HBCU,R2
318,Orbit Inc,None,Orbit Inc.,None,I
319,Orbit Inc.,None,Orbit Inc.,None,I
320,"University Of California, Santa Barbara",None,University of California-Santa Barbara,HSI,R1
321,University of Pacific,None,University of the Pacific,None,R2 - 17
322,University Of Chicago,None,University of Chicago,None,R1
323,H Councill Trenholm State Community College,"1225 Air Base Blvd, Montgomery, AL 36108",H Councill Trenholm State Community College,HBCU,None
324,J. F. Drake State Community and Technical College,"3421 Meridian St N, Huntsville, AL 35811",J. F. Drake State Community and Technical College,HBCU,None
325,Le Moyne-Owen College,"807 Walker Ave, Memphis, TN 38126",Le Moyne-Owen College,HBCU,4Y
326,North Carolina A & T State University,"1601 E Market St, Greensboro, NC 27411",North Carolina A & T State University,HBCU,R2
327,PAL Foundation,None,PAL Foundation,None,I
328,PAL Foundation,None,PAL Foundation,None,I
329,Texas A&M University-Commerce,None,Texas A & M University-Commerce,None,R2 - 17
330,"NMC, Inc.",None,"NMC, INC.",None,I
331,"University Of Massachusetts, Dartmouth",None,University of Massachusetts-Dartmouth,None,R2
332,"University Of Missouri, Rolla",None,Missouri University of Science and Technology,None,R2
333,UNIVERSITY OF ARIZONA,None,University of Arizona,None,R1
334,PRESIDENT AND FELLOWS OF HARVARD COLLEGE,None,Harvard University,None,R1
335,ARIZONA STATE UNIVERSITY,None,Arizona State University Campus Immersion,None,R1
336,"PENNSYLVANIA STATE UNIVERSITY, THE",None,The Pennsylvania State University,None,R1
337,University Of Houston,None,University of Houston,HSI,R1
338,CORNELL UNIVERSITY,None,Cornell University,None,R1
339,UNIVERSITY OF ILLINOIS,None,University of Illinois Urbana-Champaign,None,R1
